ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP3,2030,780979884.154708,775392029.274816,1373.506208,544866748.979868,5587854.879893,325812750.231917,1946683345.361006,1169140373.725281,0.002159,0.014889,0.875886,37.694643,798.264983
SSP3,2035,814032015.323386,805265068.876315,1471.482103,447521339.923835,8766946.447071,156019097.857508,3195634522.070938,1604561477.647432,0.00208,0.013094,1.398757,60.196907,1252.420921
SSP3,2040,906621950.014062,892334769.969346,1691.153578,840237519.92963,14287180.044716,337619462.571404,5032965034.576543,2342827176.910822,0.001906,0.012789,2.247689,96.731536,2041.025721
SSP3,2045,966740262.185031,948387973.215027,1845.99363,845639212.716128,18352288.970004,225322548.266869,6481816400.909405,2728877015.911895,0.001832,0.012346,2.894978,124.588259,2621.755567
SSP3,2050,1013332309.753139,991522310.62493,1966.532937,909842164.583985,21809999.128209,186640276.647442,7703217440.961108,2979428855.435574,0.00178,0.011879,3.44867,148.416947,3115.714161
SSP3,2055,1081977929.430434,1055828440.057515,2132.72122,1115729125.819434,26149489.372919,245919177.802967,8876775286.431149,3238094129.814114,0.001721,0.011708,4.133578,177.892671,3735.641339
SSP3,2060,1144583720.3816,1114367027.379497,2282.64733,1216213496.965862,30216693.002103,221825235.159207,9879101420.651903,3420908439.131041,0.001679,0.01146,4.780856,205.748925,4316.670429
SSP3,2065,1191635432.432766,1158048945.348317,2397.422886,1257583705.453461,33586487.084449,170584830.30592,10691164268.137234,3531060632.130454,0.001654,0.011026,5.332674,229.496969,4798.069583
SSP3,2070,1239523475.269331,1202478223.650984,2505.367454,1358695096.302918,37045251.618347,172563890.541812,11378593906.48595,3618369060.040434,0.001631,0.010595,5.903165,254.048617,5292.178803
SSP3,2075,1326263254.261293,1284289498.416102,2696.356515,1664254826.67193,41973755.845192,296370382.09165,12038344173.30432,3735857340.998606,0.001584,0.010473,6.672916,287.175599,5996.250835
SSP4,2025,688042893.890345,688042893.755934,1135.752593,1306257.044643,0.134412,1900005.590721,5938179.870661,8637331.37305,0.002433,0.015891,0.0,1e-06,1.9e-05
SSP4,2030,785145909.599812,779407665.750978,1382.645711,569008519.865188,5738243.848834,340292628.684499,2032673223.105941,1220715835.35209,0.002145,0.014879,0.894347,38.48912,819.749121
SSP4,2035,851191999.849975,840866580.364054,1551.376252,594081680.219359,10325419.485921,238625300.350769,3690647820.91632,1886675920.555127,0.002027,0.013404,1.629564,70.12991,1475.059927
SSP4,2040,952178827.745404,936060388.170951,1789.009053,950686816.621537,16118439.574453,370507683.750788,5769495592.629559,2696857632.662094,0.001852,0.012773,2.502528,107.698793,2302.634225
SSP4,2045,999178168.995539,979464445.413837,1908.113834,874823869.520208,19713723.581702,198408331.393603,7268349642.436302,3036794780.453682,0.00179,0.011633,3.069889,132.115759,2816.246226
SSP4,2050,1068134030.273948,1043981933.74407,2069.611428,1098300021.27715,24152096.529878,264295235.260058,8742742499.23481,3391593104.594822,0.001716,0.010861,3.753909,161.553242,3450.299504
SSP4,2055,1112585206.245708,1085154862.002495,2185.159868,1103609248.010354,27430344.243214,177083684.90533,9903552288.425028,3577855112.923022,0.001681,0.00989,4.277612,184.09132,3918.620606
SSP4,2060,1196803432.660851,1164416569.626092,2377.587222,1402161080.466979,32386863.034759,295121433.619145,11059124643.809532,3821075506.729807,0.001624,0.00929,5.043608,217.056726,4626.694719
SSP4,2065,1273144166.969395,1236239173.170276,2546.406914,1564503386.110376,36904993.79912,291573485.091278,12069375547.2809,4009354023.322918,0.001568,0.008599,5.730142,246.60241,5272.141971
SSP4,2070,1323371159.6393,1283058674.033686,2663.916187,1556422502.06086,40312485.605614,187032171.482067,12856845054.325447,4103982655.126581,0.001546,0.007763,6.269678,269.821883,5758.926515
SSP4,2075,1361137085.182879,1317969387.851536,2751.99706,1602330635.84893,43167697.331344,150558696.989518,13492047096.45897,4163667709.914312,0.001529,0.006931,6.733424,289.779637,6166.813904
SSP5,2025,688042893.890345,688042893.755934,1135.752593,1306257.044643,0.134412,1900005.590721,5938179.870661,8637331.37305,0.002433,0.015891,0.0,1e-06,1.9e-05
SSP5,2030,811610347.480978,804446006.8404,1432.162772,648888435.702359,7164340.640578,387571219.191652,2317195192.506744,1389116083.907806,0.00214,0.014827,1.144701,49.26337,1023.477234
SSP5,2035,968407987.33198,952105752.158717,1771.536673,989056709.564167,16302235.173262,457265934.288941,5077473711.187567,2665262662.296084,0.001953,0.013201,2.62648,113.033194,2328.890739
SSP5,2040,1070071395.76697,1047261998.710825,1995.338292,1030811545.680824,22809397.056145,325114688.397099,7331528618.996325,3376184422.97367,0.001861,0.010483,3.687078,158.677074,3258.485294
SSP5,2045,1189090307.101121,1159024570.768,2254.367415,1265025014.291441,30065736.333122,353049567.20388,9498922458.875725,3981071637.443794,0.001794,0.008432,4.86388,209.321959,4295.10519
SSP5,2050,1299179615.352451,1262508260.375319,2495.341496,1441035478.037626,36671354.977132,336897221.004258,11433414286.292118,4433333174.820748,0.001738,0.006947,5.924648,254.973136,5238.764997
SSP5,2055,1405510817.276448,1362954527.730639,2746.479679,1636448087.870261,42556289.545809,338375252.561868,13154680181.196606,4789246562.010708,0.001685,0.005844,6.843352,294.510482,6079.469935
SSP5,2060,1513307812.504917,1464831149.051442,2997.473817,1825927746.354438,48476663.453474,335749508.137862,14659494182.961653,5065950041.620086,0.001643,0.004983,7.768096,334.307773,6925.237636
SSP5,2065,1644367996.97616,1589240909.687079,3291.30024,2184325769.874906,55127087.289081,435539024.719442,16069984631.293756,5347191806.339931,0.001583,0.004349,8.770084,377.429326,7875.298184
SSP5,2070,1728025404.55121,1668186088.526452,3488.465132,2154725449.648478,59839316.024758,268800420.197071,17160164569.841496,5483190954.45407,0.001561,0.003722,9.502827,408.963646,8548.473718
SSP5,2075,1822511636.05157,1757603409.020767,3703.721725,2374330130.348392,64908227.030803,308298014.454956,18101405605.713844,5605407633.075923,0.001534,0.003237,10.284276,442.594092,9272.603862
