ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP2,2090,4024106.992765,3472532.28987,5.374859,31735368.826027,551574.702895,3902602.106431,193007852.880862,65601897.814263,3e-05,3e-05,0.842916,33.68375,119.56854
SSP2,2095,4292329.873932,3696874.734467,5.738624,33835687.032919,595455.139466,3834874.173861,198063174.227974,66174858.583635,3e-05,2.7e-05,0.910837,36.397944,129.080796
SSP2,2100,4562543.373642,3923193.761207,6.105114,36011865.545451,639349.612435,3835542.575787,202278905.24008,66623866.585305,3e-05,2.5e-05,0.978796,39.113656,138.596095
SSP3,2025,946974.061048,946974.061048,1.252279,1306250.0,0.0,1900000.0,5938147.846062,8637305.957908,3e-05,8.4e-05,0.0,0.0,0.0
SSP3,2030,1074606.641974,1044908.296348,1.42298,4898257.627603,29698.345626,3099193.188066,23385110.480313,19676232.829332,3e-05,8.6e-05,0.045185,1.805645,6.437909
SSP3,2035,1315137.578662,1238306.764813,1.738187,8415907.167607,76830.813849,4098531.964287,46872386.331457,31114494.79121,2.9e-05,9.4e-05,0.115883,4.630781,16.65513
SSP3,2040,1584380.291701,1454902.784397,2.075217,11616500.388541,129477.507305,4484605.023915,72273954.466843,40920890.544241,2.9e-05,9.7e-05,0.19198,7.67172,28.067706
SSP3,2045,1790713.325427,1621767.291433,2.352901,12696902.744532,168946.033994,3648489.555682,94027823.744645,47171924.079953,2.9e-05,9.6e-05,0.252188,10.077696,36.623563
SSP3,2050,2057627.365691,1841112.606894,2.710574,15492032.928204,216514.758797,4039394.580054,114824821.144382,52594535.75185,2.9e-05,9.7e-05,0.324646,12.973179,46.935354
SSP3,2055,2297269.704597,2035620.267476,3.019357,17852997.629243,261649.437121,4038760.418841,133603147.30627,56842626.857317,2.9e-05,9.6e-05,0.391297,15.636615,56.7195
SSP3,2060,2560253.013178,2250026.357906,3.356971,20625272.660685,310226.655272,4241099.220134,150601190.712964,60337872.220709,2.9e-05,9.7e-05,0.462806,18.494205,67.249909
SSP3,2065,2861565.496714,2501044.558174,3.773229,23031366.096006,360520.93854,4168602.86591,165473295.56952,63029675.158872,2.9e-05,0.0001,0.541651,21.644904,78.152537
SSP3,2070,3168191.818113,2757516.922749,4.200955,25518958.559436,410674.895364,4169558.517199,178384572.353607,65139256.706161,2.9e-05,0.000102,0.62059,24.799398,89.024746
SSP3,2075,3437158.443818,2978228.563593,4.550296,28173943.439656,458929.880225,4254523.7639,189553394.822225,66825851.296985,2.9e-05,0.000102,0.692258,27.663321,99.485302
SSP3,2080,3705071.488378,3198299.073071,4.897137,30720605.908859,506772.415307,4247371.307992,199095474.334718,68145120.67794,2.9e-05,0.000103,0.763003,30.490367,109.856449
SSP3,2085,4027238.806382,3465308.797244,5.316415,34068961.374881,561930.009138,4638156.173794,207386832.053213,69273908.009259,2.9e-05,0.000105,0.844671,33.753913,121.813329
SSP3,2090,4372792.961083,3753184.115936,5.770553,37127711.418397,619608.845147,4706474.795723,214466590.545572,70171369.868101,2.9e-05,0.000107,0.931083,37.207016,134.316757
SSP3,2095,4637136.196085,3971160.506366,6.111229,38994801.082505,665975.689719,4157444.570369,220292724.65501,70792525.225921,2.8e-05,0.000108,0.999696,39.948838,144.368008
SSP3,2100,4908203.455752,4195257.786305,6.461639,41485643.79211,712945.669446,4166952.46632,225149243.817309,71280329.744575,2.8e-05,0.00011,1.069532,42.73955,154.550005
SSP4,2025,946974.061048,946974.061048,1.252279,1306250.0,0.0,1900000.0,5938147.846062,8637305.957908,3e-05,8.4e-05,0.0,0.0,0.0
SSP4,2030,1080921.324195,1050426.148648,1.432816,4971420.046575,30495.175547,3135137.008723,23645705.591282,19804260.087924,3e-05,8.7e-05,0.046643,1.863912,6.610643
SSP4,2035,1374773.836464,1290050.281776,1.825312,9083914.641656,84723.554688,4410086.314119,48997269.569794,32112013.931234,3e-05,9.7e-05,0.129545,5.176763,18.366092
