ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP3,2095,360848782.922868,331418443.238658,857.228432,691025290.999287,29430339.68421,64077336.692416,4705022598.260636,1543639984.63754,0.000124,0.00085,4.668273,223.577619,943.476566
SSP3,2100,374432290.704823,343549687.264698,888.956312,723045721.178459,30882603.440124,65354612.768015,4789665985.204749,1551290725.96008,0.000124,0.000843,4.897753,234.568098,990.033175
SSP4,2025,97387251.574658,97387251.513064,229.605806,1306253.910534,0.061594,1900003.432902,5938165.623156,8637321.563711,0.000127,0.000606,0.0,0.0,2e-06
SSP4,2030,114315091.972499,112200787.981845,271.031703,151167497.426357,2114303.990654,96191209.311166,544377316.77113,351258016.959115,0.000125,0.000631,0.341511,16.355985,67.780267
SSP4,2035,134669935.585847,130152281.959632,320.616345,211866716.855594,4517653.626215,105856719.13787,1135659031.666557,646684988.000088,0.000125,0.000653,0.727163,34.826019,144.826746
SSP4,2040,151604729.352239,145069391.486873,362.102158,236838138.628775,6535337.865366,89984983.818534,1653548233.596178,843453345.179569,0.000125,0.000655,1.057198,50.632375,209.509581
SSP4,2045,175687079.832967,166506334.379094,420.444423,317132207.563506,9180745.453872,113899511.121518,2196897483.876018,1038599762.033884,0.000126,0.000682,1.484748,71.109044,294.315943
SSP4,2050,196914399.472244,185398805.780931,471.994973,351721102.401054,11515593.691314,101639302.450614,2669059070.8005,1175043592.134978,0.000126,0.000685,1.866032,89.369853,369.166408
SSP4,2055,222202037.1477,207982402.000388,532.573962,425604689.057783,14219635.147312,117981121.61828,3116723033.633564,1299139725.944158,0.000126,0.000691,2.298533,110.083653,455.852453
SSP4,2060,248180952.089347,231225023.770045,594.99595,484848332.216656,16955928.319302,120104400.579669,3516304320.740216,1398122165.981411,0.000126,0.000688,2.737844,131.123547,543.572422
SSP4,2065,272032180.469275,252553019.750035,651.878252,528122389.173562,19479160.71924,111484116.795191,3857330185.907892,1470111099.156596,0.000126,0.000673,3.140118,150.389684,624.462098
SSP4,2070,293936597.349699,272136103.027644,703.929505,568809213.048122,21800494.322055,103862329.941037,4145118308.996777,1522660080.972825,0.000126,0.000652,3.509755,168.092688,698.879311
